,Comb,Asst,Solo,Sck
 Preston Brown ,144,60,68,0
 Blake Martinez ,144,48,84,1
 Joe Schobert ,144,57,82,3
 Deion Jones ,138,47,85,1
 Christian Kirksey ,138,52,81,3.5
 Demario Davis ,135,38,93,5
 Bobby Wagner ,133,36,88,1.5
 C.J. Mosley ,132,36,94,1
 NaVorro Bowman ,127,47,63,1.5
 Zach Brown ,127,43,77,2.5
 Luke Kuechly ,125,51,71,1.5
 Wesley Woodyard ,124,40,78,5
 Reshad Jones ,122,28,87,1.5
 Keanu Neal ,116,33,79,0
 Kiko Alonso ,115,36,74,1
 Eric Kendricks ,113,46,66,1
 Tahir Whitehead ,110,32,69,1
 Antonio Morrison ,109,45,62,0
 K.J. Wright ,108,37,65,0
 Brandon Marshall ,106,31,69,3
 Landon Collins ,104,26,62,0
 Telvin Smith ,102,26,73,1
 Lavonte David ,101,25,67,0
 Sean Lee ,101,31,64,0
 Matthias Farley ,98,38,60,0
