,Comb,Asst,Solo,Sck
 Darius Leonard ,163,52,93,7
 Blake Martinez ,144,53,78,5
 Leighton Vander Esch ,140,38,97,0
 Bobby Wagner ,138,54,72,1
 Anthony Hitchens ,135,54,76,0
 Telvin Smith ,134,34,91,1
 Mason Foster ,131,50,64,1
 Luke Kuechly ,130,37,87,2
 Tahir Whitehead ,126,37,77,0
 Kiko Alonso ,125,46,67,0
 Cory Littleton ,125,35,74,4
 Fred Warner ,124,39,70,0
 Antoine Bethea ,121,21,94,3
 Tremaine Edmunds ,121,41,70,2
 Jaylon Smith ,121,39,76,4
 Roquan Smith ,121,32,82,5
 Lavonte David ,120,26,86,3.5
 Avery Williamson ,120,40,76,3
 John Johnson ,119,37,66,0
 Jamal Adams ,115,29,83,3.5
 Todd Davis ,114,34,75,0.5
 Wesley Woodyard ,113,44,48,4.5
 Jessie Bates ,111,38,71,0
 Demario Davis ,110,36,70,5
 Shawn Williams ,110,29,78,1
