,Pass Yds,Yds/Att,Att,Cmp,Cmp %,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
 Ben Roethlisberger ,5129,7.6,675,452,67,34,16,96.5,248,36.7,61,16,97,24,166
 Patrick Mahomes ,5097,8.8,580,383,66,50,12,113.8,237,40.9,75,15,89,26,171
 Matt Ryan ,4924,8.1,608,422,69.4,35,7,108.1,236,38.8,56,9,75,42,296
 Jared Goff ,4688,8.4,561,364,64.9,32,12,101.1,233,41.5,69,9,70,33,223
 Andrew Luck ,4593,7.2,639,430,67.3,39,15,98.7,236,36.9,53,7,68,18,134
 Aaron Rodgers ,4442,7.4,597,372,62.3,25,2,97.6,200,33.5,55,16,75,49,353
 Tom Brady ,4355,7.6,570,375,65.8,29,11,97.7,205,36,53,8,63,21,147
 Philip Rivers ,4308,8.5,508,347,68.3,32,12,105.5,213,41.9,60,10,75,32,204
 Eli Manning ,4299,7.5,576,380,66,21,11,92.4,206,35.8,57,10,58,47,358
 Kirk Cousins ,4298,7.1,606,425,70.1,30,10,99.7,218,36,47,7,75,40,262
 Deshaun Watson ,4165,8.2,505,345,68.3,26,9,103.1,202,40,51,8,73,62,384
 Derek Carr ,4049,7.3,553,381,68.9,19,10,93.9,197,35.6,52,7,66,51,299
 Drew Brees ,3992,8.2,489,364,74.4,32,5,115.7,199,40.7,58,6,72,17,121
 Case Keenum ,3890,6.6,586,365,62.3,18,15,81.2,179,30.6,52,11,64,34,235
 Dak Prescott ,3885,7.4,526,356,67.7,22,8,96.9,184,35,39,9,90,56,347
 Matthew Stafford ,3777,6.8,555,367,66.1,21,11,89.9,198,35.7,44,6,67,40,255
 Baker Mayfield ,3725,7.7,486,310,63.8,27,14,93.7,171,35.2,52,9,71,25,173
 Russell Wilson ,3448,8.1,427,280,65.6,35,7,110.9,156,36.5,47,13,66,51,355
 Cam Newton ,3395,7.2,471,320,67.9,24,13,94.2,180,38.2,44,3,82,29,213
 Mitchell Trubisky ,3223,7.4,434,289,66.6,24,12,95.4,151,34.8,40,10,70,24,143
 Carson Wentz ,3074,7.7,401,279,69.6,21,7,102.2,159,39.6,37,5,58,31,202
 Jameis Winston ,2992,7.9,378,244,64.6,19,14,90.2,152,40.2,34,6,64,27,157
 Sam Darnold ,2865,6.9,414,239,57.7,17,15,77.6,130,31.4,40,4,76,30,204
 Blake Bortles ,2718,6.7,403,243,60.3,13,11,79.8,128,31.8,36,3,80,31,173
 Andy Dalton ,2566,7,365,226,61.9,21,11,89.6,132,36.2,38,1,49,21,157
