,Comb,Asst,Solo,Sck
 Bobby Wagner ,159,73,71,3
 Blake Martinez ,155,58,91,3
 Jordan Hicks ,150,57,83,1.5
 Budda Baker ,147,43,91,0.5
 Luke Kuechly ,144,63,75,0
 Zach Cunningham ,142,43,85,2
 Jaylon Smith ,142,59,80,2.5
 Todd Davis ,134,56,70,0
 Cory Littleton ,134,56,68,3.5
 Joe Schobert ,133,44,84,2
 K.J. Wright ,132,65,61,0
 Eric Reid ,130,33,91,4
 De'Vondre Campbell ,129,54,68,2
 Jerome Baker ,126,50,72,1.5
 Anthony Walker ,124,40,72,2.5
 Lavonte David ,123,41,79,1
 Darius Leonard ,121,50,49,5
 Fred Warner ,118,29,78,3
 Landon Collins ,117,39,71,1
 Tremaine Edmunds ,115,49,47,1.5
 Shawn Williams ,114,34,77,1
 Logan Ryan ,113,40,65,4.5
 Thomas Davis ,112,47,57,1
 Demario Davis ,111,24,84,4
 Rashaan Evans ,111,42,59,2.5
