,Pass Yds,Yds/Att,Att,Cmp,Cmp %,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
 Tom Brady ,5316,7.4,719,485,67.4,43,12,102.1,269,37.4,75,10,62,22,144
 Justin Herbert ,5014,7.5,672,443,65.9,38,15,97.7,256,38.1,53,15,72,31,214
 Matthew Stafford ,4886,8.1,601,404,67.2,41,17,102.9,233,38.8,65,18,79,30,243
 Patrick Mahomes ,4839,7.4,658,436,66.3,37,13,98.4,260,39.5,58,11,75,28,146
 Derek Carr ,4804,7.7,626,428,68.4,23,14,94,217,34.7,67,10,61,40,241
 Joe Burrow ,4611,8.9,520,366,70.4,34,14,108.3,202,38.8,60,15,82,51,370
 Dak Prescott ,4449,7.5,596,410,68.8,37,10,104.2,227,38.1,55,7,51,30,144
 Josh Allen ,4407,6.8,646,409,63.3,36,15,92.2,234,36.2,51,8,61,26,164
 Kirk Cousins ,4221,7.5,561,372,66.3,33,7,103.1,192,34.2,60,10,64,28,197
 Aaron Rodgers ,4115,7.8,531,366,68.9,37,4,111.9,213,40.1,55,10,75,30,188
 Matt Ryan ,3968,7.1,560,375,67,20,12,90.4,195,34.8,44,7,64,40,274
 Jimmy Garoppolo ,3810,8.6,441,301,68.2,20,12,98.7,172,39,54,8,83,29,201
 Mac Jones ,3801,7.3,521,352,67.6,22,13,92.5,177,34,52,6,75,28,241
 Kyler Murray ,3787,7.9,481,333,69.2,24,10,100.6,172,35.8,49,9,77,31,286
 Ben Roethlisberger ,3740,6.2,605,390,64.5,22,10,86.8,188,31.1,39,9,59,38,239
 Ryan Tannehill ,3734,7,531,357,67.2,21,14,89.6,192,36.2,35,7,57,47,327
 Trevor Lawrence ,3641,6,602,359,59.6,12,17,71.9,177,29.4,43,5,58,32,238
 Carson Wentz ,3563,6.9,516,322,62.4,27,7,94.6,165,32,42,9,76,32,227
 Taylor Heinicke ,3419,6.9,494,321,65,20,15,85.9,167,33.8,40,6,73,38,278
 Jared Goff ,3245,6.6,494,332,67.2,19,8,91.5,162,32.8,39,3,63,35,280
 Jalen Hurts ,3144,7.3,432,265,61.3,16,9,87.2,143,33.1,44,5,91,26,150
 Russell Wilson ,3113,7.8,400,259,64.8,25,6,103,135,33.8,45,10,69,33,266
 Teddy Bridgewater ,3052,7.2,426,285,66.9,18,7,94.9,146,34.3,33,5,64,31,211
 Baker Mayfield ,3010,7.2,418,253,60.5,17,13,83.1,143,34.2,42,9,71,43,269
 Lamar Jackson ,2882,7.5,382,246,64.4,16,13,87,135,35.3,41,5,49,38,190
