,Comb,Asst,Solo,Sck
 Zach Cunningham ,164,58,93,3
 Jaylon Smith ,154,65,87,1.5
 Blake Martinez ,151,65,75,3
 Joe Schobert ,141,57,75,2.5
 Devin White ,140,43,90,9
 Roquan Smith ,139,41,96,4
 Bobby Wagner ,138,57,79,3
 Neville Hewitt ,134,43,77,2
 Darius Leonard ,132,46,76,3
 Tyrell Adams ,125,49,65,2
 Fred Warner ,125,46,72,1
 A.J. Johnson ,124,52,68,1
 Jordan Poyer ,124,33,78,2
 Eric Wilson ,122,60,58,3
 Alex Singleton ,120,45,69,2
 Demario Davis ,119,46,73,4
 Tremaine Edmunds ,119,42,73,2
 Budda Baker ,118,28,84,2
 Jon Bostic ,118,57,59,3
 Jordan Hicks ,118,40,70,0
 Myles Jack ,118,46,69,1
 Jeremy Chinn ,117,49,67,1
 Lavonte David ,117,35,78,1.5
 Foye Oluokun ,117,39,77,3
 Vonn Bell ,114,47,64,0
