AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Arena
4,1,2,2,0,1,5,.275,.337,.477,.814,17,11,0.125, 1.00,0.203,-0.078%, 0.08%, 1.04, 1.6,2,0,"2B,CS,HBP",75° F, Wind 0mph, In Dome.
5,1,2,2,0,0,5,.308,.376,.470,.846,16,13,0.015, 0.70,0.147,-0.131%, 0.01%, 0.73, 0.3,7,1,"HR,GDP",75° F, Wind 0mph, In Dome.
4,0,0,0,1,2,5,.230,.340,.351,.691,27,16,-0.045, 0.50,0.012,-0.057%,-0.03%, 0.53, -1.0,3,0,,75° F, Wind 0mph, In Dome.
4,0,0,0,0,0,4,.218,.349,.368,.716,19,13,-0.072, 0.68,0.000,-0.072%,-0.04%, 0.71, -1.0,,,,75° F, Wind 0mph, In Dome.
3,1,1,0,0,1,4,.239,.336,.440,.775,15,9,0.072, 0.78,0.088,-0.016%, 0.04%, 0.81, 0.4,0,2,HBP,75° F, Wind 0mph, In Dome.
3,0,0,0,1,2,4,.265,.345,.382,.727,19,12,-0.085, 0.88,0.004,-0.088%,-0.05%, 0.92, -0.6,1,3,,75° F, Wind 0mph, In Dome.
4,1,1,2,0,0,4,.206,.286,.469,.755,12,8,0.178, 0.86,0.228,-0.050%, 0.11%, 0.90, 0.9,10,0,HR,75° F, Wind 0mph, In Dome.
4,1,1,0,0,0,4,.237,.297,.311,.608,9,8,-0.023, 0.47,0.017,-0.040%,-0.01%, 0.50, -0.3,0,1,,75° F, Wind 0mph, In Dome.
4,1,3,0,0,0,4,.302,.351,.472,.823,11,6,0.041, 0.70,0.065,-0.024%, 0.03%, 0.73, 0.9,3,0,,75° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,,,,75° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,1,0,,75° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,0,0,,75° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,0,0,,75° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,0,0,,75° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,0,0,,75° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,0,0,,75° F, Wind 0mph, In Dome.
