Player,Team,Age,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Ashton Goudeau,COL,29,12,0,0,0,20.1,25,16,16,10,3,1,0,1,0,0,7.08,1.72
Dylan Coleman,KC,25,20,0,0,0,20.1,13,9,24,17,3,1,1,0,0,1,3.98,1.48
Jordan Romano,TOR,29,22,0,0,0,20.1,17,6,25,7,2,1,2,16,2,1,2.66,1.18
Tyler Duffey,MIN,31,20,0,0,0,20.1,21,10,19,5,3,2,3,1,3,7,4.43,1.28
Luis Garcia,SD,35,21,0,0,0,20.1,19,6,21,6,0,4,2,0,1,10,2.66,1.23
Daniel Bard,COL,36,19,0,0,0,20.1,11,6,25,11,2,3,2,11,2,0,2.66,1.08
Ian Kennedy,ARI,37,22,0,0,0,20.1,22,8,16,9,3,3,3,3,2,7,3.54,1.52
Chris Stratton,PIT,31,21,0,0,0,20.1,24,9,21,6,1,2,2,2,3,6,3.98,1.48
Steve Cishek,WAS,35,23,0,0,0,20.1,21,10,23,9,2,0,1,0,1,3,4.43,1.48
David Phelps,TOR,35,22,0,0,0,20.0,13,5,18,10,0,0,1,1,1,5,2.25,1.15
T.J. McFarland,STL,32,18,0,0,0,20.0,29,17,12,6,4,0,0,0,0,1,7.65,1.75
Devin Williams,MIL,27,22,0,0,0,20.0,14,7,35,13,0,2,0,4,0,12,3.15,1.35
Brent Suter,MIL,32,17,0,0,0,20.0,23,12,12,9,2,1,0,0,0,1,5.40,1.60
Kyle Finnegan,WAS,30,22,0,0,0,20.0,20,9,23,7,2,1,1,0,0,8,4.05,1.35
Matt Brash,SEA,24,5,5,0,0,20.0,24,17,19,17,3,1,3,0,0,0,7.65,2.05
Rowan Wick,CHC,29,20,0,0,0,20.0,23,8,23,10,1,1,1,4,0,3,3.60,1.65
Seranthony Dominguez,PHI,27,20,0,0,0,19.2,13,4,24,7,0,2,1,0,0,7,1.83,1.02
Tyler Danish,BOS,27,14,0,0,0,19.2,16,8,20,3,3,1,0,0,0,0,3.66,0.97
Josh Staumont,KC,28,21,0,0,0,19.2,19,8,27,10,1,2,1,3,3,2,3.66,1.47
Matt Bush,TEX,36,22,2,0,0,19.2,16,7,27,5,4,2,1,1,2,6,3.20,1.07
David Robertson,CHC,37,18,0,0,0,19.1,8,4,26,9,1,1,0,7,2,0,1.86,0.88
Brad Boxberger,MIL,34,20,0,0,0,19.1,15,6,18,5,2,1,1,0,4,11,2.79,1.03
Will Smith,ATL,32,21,0,0,0,19.1,14,8,18,10,4,0,1,2,2,5,3.72,1.24
Chase De Jong,PIT,28,10,0,0,0,19.1,11,4,11,6,3,2,0,0,0,1,1.86,0.88
Jarlin Garcia,SF,29,19,0,0,0,19.1,11,5,14,7,3,1,2,0,1,1,2.33,0.93
Aaron Loup,LAA,34,22,0,0,0,19.1,17,10,21,5,2,0,2,0,3,7,4.66,1.14
Caleb Thielbar,MIN,35,22,0,0,0,19.1,16,12,23,10,2,1,0,0,0,5,5.59,1.34
Tanner Scott,MIA,27,22,0,0,0,19.1,15,11,29,12,2,0,1,2,0,1,5.12,1.40
Paul Sewald,SEA,32,19,0,0,0,19.1,10,5,19,6,2,2,1,3,2,3,2.33,0.83
Jonathan Heasley,KC,25,4,4,0,0,19.1,18,10,10,16,3,0,2,0,0,0,4.66,1.76
Bryce Elder,ATL,23,4,4,0,0,19.0,18,10,12,14,3,1,3,0,0,0,4.74,1.68
Cole Sulser,MIA,32,22,0,0,0,19.0,17,10,22,9,2,0,3,2,3,5,4.74,1.37
Jacob Barnes,DET,32,20,0,0,0,19.0,18,12,10,8,3,3,1,0,1,3,5.68,1.37
Trevor Gott,MIL,29,20,0,0,0,19.0,16,7,20,3,2,1,0,0,1,7,3.32,1.00
Taylor Clarke,KC,29,20,0,0,0,19.0,27,12,14,0,4,1,1,1,2,3,5.68,1.42
Joe Jimenez,DET,27,20,0,0,0,19.0,12,6,22,5,2,2,0,0,0,3,2.84,0.89
Jeurys Familia,PHI,32,21,0,0,0,19.0,20,8,18,8,3,1,0,0,2,5,3.79,1.47
Will Vest,DET,26,16,0,0,0,19.0,7,4,25,5,2,0,1,1,0,0,1.89,0.63
Craig Stammen,SD,38,17,0,0,0,18.2,17,5,16,1,3,0,0,0,1,2,2.41,0.96
Adam Ottavino,NYM,36,22,0,0,0,18.2,17,8,27,9,2,2,1,0,2,6,3.86,1.39
Hunter Strickland,CIN,33,20,0,0,0,18.2,17,11,17,15,1,0,1,1,0,2,5.30,1.71
Jose Ruiz,CWS,27,21,0,0,0,18.2,17,10,21,14,3,0,0,0,0,9,4.82,1.66
Michael Fulmer,DET,29,19,0,0,0,18.2,12,6,18,9,1,2,2,1,2,6,2.89,1.13
Austin Voth,WAS,29,19,0,0,0,18.2,34,21,18,6,4,0,0,0,0,1,10.13,2.14
Ryan Helsley,STL,27,16,0,0,0,18.2,4,1,28,5,0,2,0,3,1,4,0.48,0.48
Giovanny Gallegos,STL,30,19,0,0,0,18.2,17,8,23,4,2,0,2,8,3,1,3.86,1.13
Art Warren,CIN,29,20,0,0,0,18.1,18,14,18,10,4,2,2,3,3,2,6.87,1.53
Ronald Bolanos,KC,25,8,0,0,0,18.1,20,9,12,12,2,0,0,0,0,0,4.42,1.75
Josh Fleming,TB,26,6,2,0,0,18.1,27,13,17,9,2,2,3,0,0,0,6.38,1.96
Joe Barlow,TEX,26,18,0,0,0,18.1,12,5,17,6,3,1,1,9,1,0,2.45,0.98
Chasen Shreve,NYM,31,18,0,0,0,18.1,16,9,21,5,3,1,1,0,1,3,4.42,1.15
Brett Martin,TEX,27,22,0,0,0,18.1,20,9,16,6,1,0,4,0,1,3,4.42,1.42
Mark Melancon,ARI,37,21,0,0,0,18.1,26,12,11,5,1,1,5,11,1,0,5.89,1.69
Ryan Brasier,BOS,34,21,0,0,0,18.1,22,11,19,3,5,0,2,0,1,4,5.40,1.36
Daniel Hudson,LAD,35,18,0,0,0,18.1,11,4,22,3,1,2,3,4,0,7,1.96,0.76
Collin Snider,KC,26,23,0,0,0,18.1,21,13,12,8,2,3,2,0,1,6,6.38,1.58
Louis Head,MIA,32,17,0,0,0,18.0,19,11,19,9,2,0,0,1,0,1,5.50,1.56
Jake Diekman,BOS,35,22,0,0,0,18.0,15,7,25,13,3,1,0,1,3,9,3.50,1.56
Daniel Norris,CHC,29,16,1,0,0,18.0,9,11,23,11,4,0,3,0,0,2,5.50,1.11
Dominic Leone,SF,30,19,0,0,0,18.0,20,6,22,3,3,3,0,1,1,4,3.00,1.28
J.B. Wendelken,ARI,29,19,0,0,0,18.0,19,12,10,8,3,1,1,0,0,1,6.00,1.50
Sam Moll,OAK,30,21,0,0,0,18.0,10,3,24,10,1,2,0,0,0,5,1.50,1.11
Ryan Thompson,TB,29,21,0,0,0,18.0,20,13,14,6,4,1,2,3,3,3,6.50,1.44
Diego Castillo,SEA,28,20,0,0,0,18.0,20,13,20,8,1,2,0,2,0,1,6.50,1.56
Gabe Speier,KC,27,15,1,0,0,18.0,15,5,14,4,2,0,1,0,0,2,2.50,1.06
Jackson Stephens,ATL,28,12,0,0,0,18.0,15,5,19,5,2,1,2,1,1,1,2.50,1.11
Emilio Pagan,MIN,31,18,0,0,0,18.0,15,6,22,11,5,1,2,7,3,1,3.00,1.44
Trevor Stephan,CLE,26,19,0,0,0,18.0,16,8,18,5,0,2,2,1,1,3,4.00,1.17
Andrew Kittredge,TB,32,15,0,0,0,18.0,13,6,13,1,4,3,1,5,2,0,3.00,0.78
Gregory Soto,DET,27,19,0,0,0,17.2,13,4,14,8,1,2,2,10,1,1,2.04,1.19
Jose Suarez,LAA,24,5,4,0,0,17.2,21,12,16,12,4,0,2,0,0,0,6.11,1.87
Dennis Santana,TEX,26,19,0,0,0,17.2,8,3,9,2,0,2,2,1,0,7,1.53,0.57
Roansy Contreras,PIT,22,5,2,0,0,17.2,12,5,18,6,2,1,0,0,0,1,2.55,1.02
Graham Ashcraft,CIN,24,3,3,0,0,17.2,12,3,9,5,1,2,0,0,0,0,1.53,0.96
Joely Rodriguez,NYM,30,21,0,0,0,17.2,12,9,21,11,1,0,2,0,0,7,4.58,1.30
Adam Kolarek,OAK,33,15,0,0,0,17.2,20,9,9,8,1,0,1,0,0,0,4.58,1.58
Penn Murfee,SEA,28,16,0,0,0,17.2,8,2,21,5,0,1,0,0,0,0,1.02,0.74
Steven Wilson,SD,27,18,0,0,0,17.2,15,10,19,7,4,3,1,1,2,5,5.09,1.25
Alex Colome,COL,33,18,0,0,0,17.1,21,6,9,7,0,1,0,2,1,3,3.12,1.62
Colin Poche,TB,28,19,0,0,0,17.1,11,3,14,5,3,1,0,3,1,8,1.56,0.92
Tony Santillan,CIN,25,17,0,0,0,17.1,18,9,20,9,1,0,0,4,1,4,4.67,1.56
Wandy Peralta,NYY,30,15,0,0,0,17.1,13,4,11,6,0,1,0,1,1,2,2.08,1.10
Mark Leiter,CHC,31,7,3,0,0,17.1,15,12,16,9,2,1,1,0,0,0,6.23,1.38
Konnor Pilkington,CLE,24,6,3,0,0,17.0,17,5,23,10,0,1,0,0,0,0,2.65,1.59
Ryan Feltner,COL,25,3,3,0,0,17.0,14,7,20,5,2,1,1,0,0,0,3.71,1.12
Hirokazu Sawamura,BOS,34,19,0,0,0,17.0,14,6,14,6,1,0,1,0,0,1,3.18,1.18
Ryne Stanek,HOU,30,19,0,0,0,17.0,7,2,14,9,1,0,0,1,0,3,1.06,0.94
Matt Barnes,BOS,31,20,0,0,0,17.0,17,15,14,12,2,0,3,2,1,0,7.94,1.71
Garrett Richards,TEX,34,13,2,0,0,17.0,12,8,15,8,2,1,1,0,0,0,4.24,1.18
Joe Smith,MIN,38,21,0,0,0,17.0,16,3,11,4,1,1,1,0,1,10,1.59,1.18
Raisel Iglesias,LAA,32,20,0,0,0,17.0,12,7,24,4,3,1,3,11,1,0,3.71,0.94
Hansel Robles,BOS,31,16,0,0,0,17.0,12,5,11,6,3,1,1,2,3,6,2.65,1.06
Bennett Sousa,CWS,27,21,0,0,0,17.0,18,13,11,9,2,2,0,1,1,4,6.88,1.59
Mike Mayers,LAA,30,15,0,0,0,16.2,18,10,14,6,4,1,0,0,1,1,5.40,1.44
Josh Hader,MIL,28,18,0,0,0,16.2,4,0,26,6,0,0,0,18,0,0,0.00,0.60
Jonathan Loaisiga,NYY,27,18,0,0,0,16.2,16,13,18,10,3,1,2,0,1,6,7.02,1.56
Michael Rucker,CHC,28,10,0,0,0,16.2,14,7,18,6,2,0,0,0,0,1,3.78,1.20
Cionel Perez,BAL,26,20,0,0,0,16.2,15,2,17,9,1,4,0,0,0,4,1.08,1.44
Kyle Nelson,ARI,25,17,0,0,0,16.1,14,3,18,2,0,1,0,0,0,5,1.65,0.98
Cody Stashak,MIN,28,11,0,0,0,16.1,16,7,15,0,1,3,0,0,0,1,3.86,0.98
Reiver Sanmartin,CIN,26,5,4,0,0,16.1,28,25,10,9,4,0,4,0,0,0,13.78,2.27
Andres Munoz,SEA,23,18,0,0,0,16.1,18,9,23,6,3,1,2,1,2,3,4.96,1.47
Matt Festa,SEA,29,16,0,0,0,16.1,15,10,25,5,5,0,0,0,0,3,5.51,1.22
Trent Thornton,TOR,28,11,0,0,0,16.1,12,6,12,9,0,0,2,0,0,0,3.31,1.29
Andrew Bellatti,PHI,30,18,0,0,0,16.1,14,7,23,8,4,1,2,0,0,1,3.86,1.35
Tanner Rainey,WAS,29,16,0,0,0,16.1,12,4,18,6,0,1,1,6,2,1,2.20,1.10
Jacob Lemoine,OAK,28,9,0,0,0,16.1,18,14,13,7,4,0,0,0,0,0,7.71,1.53
Chase Silseth,LAA,22,4,4,0,0,16.1,17,9,11,7,4,1,2,0,0,0,4.96,1.47
Jake Woodford,STL,25,8,0,0,0,16.0,13,4,10,6,1,1,0,0,0,0,2.25,1.19
Sam Hentges,CLE,25,15,0,0,0,16.0,8,2,19,2,0,0,0,0,0,0,1.13,0.63
Chris Martin,CHC,36,18,0,0,0,16.0,20,7,21,4,2,0,0,0,1,2,3.94,1.50
Blake Taylor,HOU,26,19,0,0,0,16.0,15,7,9,10,1,1,1,0,0,4,3.94,1.56
Wade Miley,CHC,35,3,3,0,0,16.0,12,6,10,7,0,1,0,0,0,0,3.38,1.19
Bryan Shaw,CLE,34,21,0,0,0,16.0,13,8,13,7,3,1,0,0,0,3,4.50,1.25
Craig Kimbrel,LAD,34,17,0,0,0,16.0,15,8,22,6,1,0,1,11,1,0,4.50,1.31
Elvin Rodriguez,DET,24,4,3,0,0,16.0,20,18,14,7,6,0,1,0,0,0,10.13,1.69
Ralph Garza,TB,28,9,0,0,0,15.2,17,8,9,7,2,0,1,0,1,0,4.60,1.53
Drew Hutchison,DET,31,10,0,0,0,15.2,12,8,15,12,1,0,3,0,0,0,4.60,1.53
Phil Bickford,LAD,26,17,0,0,0,15.2,15,6,13,3,2,0,0,0,0,1,3.45,1.15
Carlos Estevez,COL,29,19,0,0,0,15.2,18,11,11,7,4,1,2,0,1,2,6.32,1.60
Steven Okert,MIA,30,21,0,0,0,15.2,7,4,23,9,1,2,0,0,1,7,2.30,1.02
Jason Foley,DET,26,13,0,0,0,15.2,17,5,7,2,0,0,0,0,0,0,2.87,1.21
Robert Gsellman,CHC,28,8,0,0,0,15.1,17,8,9,3,2,0,2,1,1,0,4.70,1.30
Justin Grimm,OAK,32,15,0,0,0,15.1,18,7,11,7,1,0,0,0,0,3,4.11,1.63
James Norwood,PHI,28,18,0,0,0,15.1,18,13,19,8,2,1,0,0,0,1,7.63,1.70
Tucker Davidson,ATL,26,4,3,0,0,15.1,15,11,10,13,0,1,2,0,0,0,6.46,1.83
Aaron Bummer,CWS,28,17,0,0,0,15.1,17,6,18,8,1,0,1,1,1,8,3.52,1.63
Chad Green,NYY,31,14,0,0,0,15.0,13,5,16,5,1,1,1,1,3,3,3.00,1.20
Matt Strahm,BOS,30,19,0,0,0,15.0,13,7,17,4,0,2,2,1,1,4,4.20,1.13
Bailey Falter,PHI,25,6,2,0,0,15.0,17,7,9,5,3,0,2,0,0,0,4.20,1.47
Nick Sandlin,CLE,25,15,0,0,0,15.0,9,5,9,15,2,4,2,0,0,4,3.00,1.60
Alex Vesia,LAD,26,19,0,0,0,15.0,13,6,20,4,1,0,0,0,0,6,3.60,1.13
Blake Snell,SD,29,3,3,0,0,15.0,8,8,18,8,2,0,2,0,0,0,4.80,1.07
Brad Hand,PHI,32,22,0,0,0,15.0,12,2,17,9,0,1,1,1,0,5,1.20,1.40
Miguel Castro,NYY,27,19,0,0,0,14.2,12,5,15,9,1,2,0,0,0,6,3.07,1.43
Sean Poppen,ARI,28,14,0,0,0,14.2,8,4,11,8,1,1,0,0,1,2,2.45,1.09
Justin Lawrence,COL,27,14,0,0,0,14.2,15,9,20,12,1,1,1,0,0,2,5.52,1.84
Nick Lodolo,CIN,24,3,3,0,0,14.2,18,9,19,5,3,1,2,0,0,0,5.52,1.57
Julian Merryweather,TOR,30,16,0,0,0,14.2,18,11,14,2,2,0,2,0,1,1,6.75,1.36
Clarke Schmidt,NYY,26,8,0,0,0,14.2,8,2,12,6,1,3,2,0,0,0,1.23,0.95
Adam Oller,OAK,27,4,4,0,0,14.2,21,20,11,11,6,0,3,0,0,0,12.27,2.18
Corbin Martin,ARI,26,5,0,0,0,14.1,15,7,14,6,0,0,0,0,0,0,4.40,1.47
Drew Steckenrider,SEA,31,16,0,0,0,14.1,21,9,10,5,2,0,2,2,2,4,5.65,1.81
John Schreiber,BOS,28,14,0,0,0,14.1,7,2,15,2,1,2,0,1,0,5,1.26,0.63
Tyler Gilbert,ARI,28,3,2,0,0,14.1,12,8,12,4,5,0,2,0,0,0,5.02,1.12
Drew VerHagen,STL,31,10,0,0,0,14.1,10,5,9,9,2,3,0,0,0,1,3.14,1.33
Jesse Chavez,ATL,38,13,1,0,0,14.1,20,6,19,2,1,0,1,0,0,0,3.77,1.53
Aroldis Chapman,NYY,34,17,0,0,0,14.0,13,6,15,10,2,0,2,9,0,0,3.86,1.64
Brooks Raley,TB,33,17,0,0,0,14.0,9,4,17,5,0,1,0,3,1,5,2.57,1.00
Carl Edwards,WAS,30,12,0,0,0,14.0,5,3,13,7,0,0,1,0,1,2,1.93,0.86
Mike Clevinger,SD,31,3,3,0,0,14.0,11,5,15,5,1,1,0,0,0,0,3.21,1.14
Erik Swanson,SEA,28,13,0,0,0,14.0,10,2,21,1,2,0,0,0,0,3,1.29,0.79
Anthony Bender,MIA,27,16,0,0,0,14.0,17,7,13,5,3,1,3,6,2,1,4.50,1.57
Dauri Moreta,CIN,26,15,1,0,0,13.2,15,15,16,6,7,0,1,0,0,1,9.88,1.54
Jhonathan Diaz,LAA,25,3,2,0,0,13.2,8,2,10,8,1,1,0,0,0,0,1.32,1.17
Enyel De Los Santos,CLE,26,13,0,0,0,13.2,6,4,19,5,0,0,0,0,0,1,2.63,0.80
Anthony Misiewicz,SEA,27,17,0,0,0,13.2,14,7,8,6,1,0,1,0,0,3,4.61,1.46
Amir Garrett,KC,30,16,0,0,0,13.2,4,7,16,11,0,1,0,0,0,1,4.61,1.10
Jose Alvarez,SF,33,19,0,0,0,13.2,13,7,13,9,1,2,1,0,1,1,4.61,1.61
Heath Hembree,PIT,33,17,0,0,0,13.1,15,12,10,9,5,2,0,0,1,2,8.10,1.80
Robert Stephenson,COL,29,16,0,0,0,13.1,16,8,11,8,2,0,0,0,0,2,5.40,1.80
Anthony DeSclafani,SF,32,3,3,0,0,13.1,22,9,13,2,2,0,1,0,0,0,6.08,1.80
Cristopher Sanchez,PHI,25,6,1,0,0,13.1,10,8,12,6,2,0,1,0,0,1,5.40,1.20
Kris Bubic,KC,24,6,5,0,0,13.1,19,19,10,11,5,0,3,0,0,0,12.83,2.25
Andres Machado,WAS,29,12,0,0,0,13.1,14,8,10,7,0,0,0,0,0,0,5.40,1.58
Matthew Liberatore,STL,22,3,3,0,0,13.0,15,8,10,8,4,1,1,0,0,0,5.54,1.77
Jose Alvarado,PHI,27,17,0,0,0,13.0,16,11,17,10,1,0,1,0,0,5,7.62,2.00
Tim Mayza,TOR,30,15,0,0,0,13.0,11,3,13,2,1,2,0,0,1,7,2.08,1.00
Ryan Pressly,HOU,33,14,0,0,0,13.0,13,4,10,4,1,1,1,10,2,0,2.77,1.31
Jandel Gustave,MIL,29,12,0,0,0,13.0,13,8,15,5,3,0,0,0,0,1,5.54,1.38
Justin Bruihl,LAD,24,14,0,0,0,13.0,9,3,9,3,1,1,1,0,0,3,2.08,0.92
Kodi Whitley,STL,27,14,0,0,0,12.2,11,8,12,9,2,2,0,0,0,1,5.68,1.58
Darren O'Day,ATL,39,15,0,0,0,12.2,11,6,14,5,2,1,0,0,1,3,4.26,1.26
Jake McGee,SF,35,13,0,0,0,12.1,16,11,8,4,1,1,1,2,2,1,8.03,1.62
Andrew Chafin,DET,31,16,0,0,0,12.1,13,4,13,3,0,0,1,1,0,6,2.92,1.30
Lucas Luetge,NYY,35,17,0,0,0,12.1,15,8,14,5,1,1,2,0,0,4,5.84,1.62
Duane Underwood,PIT,27,8,0,0,0,12.1,11,4,14,5,0,0,1,0,0,2,2.92,1.30
Danny Coulombe,MIN,32,10,0,0,0,12.1,7,2,9,9,0,0,0,0,0,0,1.46,1.30
Tyler Alexander,DET,27,4,4,0,0,12.1,17,12,9,5,3,0,3,0,0,0,8.76,1.78
Lou Trivino,OAK,30,18,0,0,0,12.1,14,10,20,7,1,1,3,2,1,1,7.30,1.70
Phillips Valdez,BOS,30,10,0,0,0,12.1,7,8,13,5,0,0,1,0,0,0,5.84,0.97
Sam Long,SF,26,10,3,0,0,12.1,9,4,9,6,1,0,1,0,0,0,2.92,1.22
Lucas Gilbreath,COL,26,15,0,0,0,12.0,11,10,12,10,1,0,0,0,1,1,7.50,1.75
Paul Fry,BAL,29,12,0,0,0,12.0,9,8,12,7,1,0,0,0,0,1,6.00,1.33
Anthony Banda,PIT,28,15,0,0,0,12.0,20,7,14,4,2,1,0,0,0,1,5.25,2.00
Buck Farmer,CIN,31,10,0,0,0,12.0,15,9,17,7,2,0,0,0,0,0,6.75,1.83
Packy Naughton,STL,26,7,2,0,0,11.2,12,4,12,1,2,0,1,0,0,0,3.09,1.11
Joel Kuhnel,CIN,27,9,0,0,0,11.2,9,1,14,2,0,0,0,0,0,0,0.77,0.94
Ryan Pepiot,LAD,24,3,3,0,0,11.1,6,4,13,11,1,0,0,0,0,0,3.18,1.50
Archie Bradley,LAA,29,12,0,0,0,11.1,12,7,9,2,1,0,0,1,1,3,5.56,1.24
Richard Bleier,MIA,35,14,1,0,0,11.1,16,7,7,3,1,0,1,0,0,2,5.56,1.68
Anthony Gose,CLE,31,12,0,0,0,11.1,8,6,14,6,2,1,0,0,1,0,4.76,1.24
Kirby Snead,OAK,27,14,0,0,0,11.1,20,11,8,7,1,0,0,0,1,4,8.74,2.38
Seth Martinez,HOU,27,6,0,0,0,11.0,5,0,8,4,0,0,0,0,0,0,0.00,0.82
Yency Almonte,LAD,28,7,0,0,0,11.0,8,2,11,5,1,0,0,0,1,1,1.64,1.18
Mike Baumann,BAL,26,6,0,0,0,11.0,11,6,8,6,1,1,2,0,0,0,4.91,1.55
Tyler Matzek,ATL,31,13,0,0,0,10.2,6,6,10,9,1,0,1,0,0,6,5.06,1.41
Kutter Crawford,BOS,26,8,0,0,0,10.2,15,10,14,8,2,1,1,0,0,0,8.44,2.16
Colin Holderman,NYM,26,8,0,0,0,10.2,8,1,13,1,0,2,0,0,0,0,0.84,0.84
Davis Martin,CWS,25,2,2,0,0,10.1,10,5,8,4,1,0,2,0,0,0,4.35,1.35
David Price,LAD,36,10,0,0,0,10.1,13,4,15,2,2,0,0,0,1,2,3.48,1.45
Andrew Heaney,LAD,30,2,2,0,0,10.1,4,0,16,3,0,1,0,0,0,0,0.00,0.68
Travis Lakins,BAL,27,6,0,0,0,10.1,14,11,8,6,3,0,1,0,0,0,9.58,1.94
Luis Perdomo,MIL,29,7,0,0,0,10.1,9,2,3,2,1,1,0,0,0,1,1.74,1.06
Miguel Yajure,PIT,24,6,0,0,0,10.1,16,13,4,6,1,1,0,0,0,0,11.32,2.13
Tim Hill,SD,32,14,0,0,0,10.1,11,7,4,3,0,0,0,0,0,5,6.10,1.35
Casey Mize,DET,25,2,2,0,0,10.0,13,6,4,2,1,0,1,0,0,0,5.40,1.50
Stephen Nogosek,NYM,27,5,0,0,0,10.0,6,1,8,4,1,0,0,0,0,0,0.90,1.00
Kyle Crick,CWS,29,10,0,0,0,10.0,7,4,11,8,0,1,0,0,0,2,3.60,1.50
Kolby Allard,TEX,24,5,0,0,0,10.0,9,6,7,3,3,0,2,0,0,0,5.40,1.20
Sean Reid-Foley,NYM,26,7,0,0,0,10.0,7,6,8,7,1,0,0,0,0,0,5.40,1.40
Phoenix Sanders,TB,26,5,0,0,0,10.0,8,2,9,2,0,0,0,0,0,0,1.80,1.00
Tommy Nance,MIA,31,8,0,0,0,10.0,10,4,15,4,1,0,0,0,0,0,3.60,1.40
Beau Sulser,PIT,28,4,0,0,0,9.2,8,4,10,6,1,0,0,0,0,0,3.72,1.45
Brandon Hughes,CHC,26,7,0,0,0,9.2,7,4,12,2,2,0,0,0,1,0,3.72,0.93
Tyler Beede,SF,29,6,0,0,0,9.2,14,5,4,6,1,0,0,0,0,0,4.66,2.07
Tyler Thornburg,ATL,33,9,0,0,0,9.1,12,4,10,5,0,0,0,0,0,0,3.86,1.82
Aaron Brooks,STL,32,5,0,0,0,9.1,11,8,7,2,3,0,0,0,0,0,7.71,1.39
Connor Brogdon,PHI,27,11,0,0,0,9.1,10,3,13,5,1,0,0,0,0,0,2.89,1.61
Yunior Marte,SF,27,9,0,0,0,9.1,10,8,7,6,1,0,0,0,0,0,7.71,1.71
Ryan Burr,CWS,28,8,0,0,0,9.0,8,6,7,4,3,1,1,0,0,1,6.00,1.33
Kyle Barraclough,LAA,32,8,0,0,0,9.0,7,3,9,4,0,0,1,0,0,2,3.00,1.22
Adonis Medina,NYM,25,5,0,0,0,8.2,11,5,7,0,1,1,0,0,0,0,5.19,1.27
Albert Abreu,TEX,26,7,0,0,0,8.2,4,3,9,12,2,0,0,0,0,0,3.12,1.85
Wyatt Mills,SEA,27,8,0,0,0,8.2,5,4,6,3,0,0,0,0,0,0,4.15,0.92
Aaron Fletcher,PIT,26,8,0,0,0,8.2,10,9,6,3,2,0,1,0,0,0,9.35,1.50
Jharel Cotton,MIN,30,5,0,0,0,8.2,5,1,9,6,0,1,1,0,0,0,1.04,1.27
Trevor Megill,MIN,28,5,0,0,0,8.2,5,1,12,3,1,1,1,0,0,0,1.04,0.92
Sergio Romo,SEA,39,9,0,0,0,8.2,9,6,5,2,3,0,0,0,0,3,6.23,1.27
Trevor May,NYM,32,8,0,0,0,8.1,13,8,5,3,2,1,0,1,0,2,8.64,1.92
Josh Sborz,TEX,28,8,0,0,0,8.1,10,10,12,6,2,0,0,0,0,0,10.80,1.92
Yohan Ramirez,SEA,27,7,0,0,0,8.1,7,7,10,6,3,1,0,0,1,0,7.56,1.56
Dinelson Lamet,SD,29,10,0,0,0,8.1,10,9,10,7,2,0,1,0,0,1,9.72,2.04
Dylan Floro,MIA,31,9,0,0,0,8.1,9,5,1,3,1,0,0,0,0,0,5.40,1.44
Austin Warren,LAA,26,7,0,0,0,8.1,8,4,5,5,1,2,0,0,1,0,4.32,1.56
Jake Cousins,MIL,27,8,0,0,0,8.0,8,4,13,5,1,2,1,0,1,0,4.50,1.63
Matt Manning,DET,24,2,2,0,0,8.0,6,2,4,0,1,0,0,0,0,0,2.25,0.75
John Means,BAL,29,2,2,0,0,8.0,8,3,7,2,0,0,0,0,0,0,3.38,1.25
Reyes Moronta,LAD,29,7,0,0,0,8.0,8,2,7,3,0,0,0,0,0,0,2.25,1.38
Cole Sands,MIN,24,3,1,0,0,8.0,9,7,10,4,2,0,1,0,0,0,7.88,1.63
Jose Urena,MIL,30,4,0,0,0,7.2,7,3,3,5,1,0,0,0,0,0,3.52,1.57
Mauricio Llovera,SF,26,9,1,0,0,7.2,10,5,9,2,2,0,0,0,0,0,5.87,1.57
Denyi Reyes,BAL,25,3,1,0,0,7.2,8,2,3,1,0,0,0,0,0,0,2.35,1.17
Ethan Roberts,CHC,24,9,0,0,0,7.2,10,7,9,6,3,0,1,0,0,1,8.22,2.09
Yennier Cano,MIN,28,6,0,0,0,7.1,12,11,7,4,2,1,0,0,0,0,13.50,2.18
Dylan Lee,ATL,27,5,0,0,0,7.1,4,1,6,2,0,0,0,0,0,0,1.23,0.82
Anderson Severino,CWS,27,6,0,0,0,7.1,7,5,9,4,0,0,0,0,0,0,6.14,1.50
Ron Marinaccio,NYY,26,7,0,0,0,7.1,6,5,11,4,0,0,0,0,0,1,6.14,1.36
Jason Alexander,MIL,29,1,1,0,0,7.0,7,2,3,3,0,0,0,0,0,0,2.57,1.43
Jimmy Lambert,CWS,27,3,2,0,0,7.0,8,4,7,4,1,0,2,0,0,0,5.14,1.71
JP Sears,NYY,26,3,1,0,0,7.0,5,0,7,3,0,2,0,0,0,0,0.00,1.14
Spencer Patton,TEX,34,7,0,0,0,7.0,4,3,5,3,1,0,0,0,0,1,3.86,1.00
Huascar Ynoa,ATL,24,2,2,0,0,6.2,11,10,8,6,2,0,2,0,0,0,13.50,2.55
Shawn Armstrong,MIA,31,7,0,0,0,6.2,10,8,5,3,1,0,0,0,0,0,10.80,1.95
Tyler Beede,PIT,29,5,0,0,0,6.2,7,4,3,4,0,0,0,0,0,1,5.40,1.65
Lucas Sims,CIN,28,6,0,0,0,6.2,5,7,5,6,0,1,0,1,0,0,9.45,1.65
Anthony Castro,CLE,27,6,0,0,0,6.2,7,3,9,3,2,0,0,0,0,0,4.05,1.50
