,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Arena
Josh Smith 3B,3,0,0,0,1,1,4,.250,.378,.333,.711,18,12,0.027, 0.29,0.035,-0.008%, 0.01%, 0.12, -0.2,1,1,,75° F, Wind 0mph, In Dome.
Marcus Semien SS,3,1,0,0,1,0,4,.235,.293,.395,.688,16,8,0.010, 0.48,0.046,-0.036%, 0.00%, 0.21, -0.0,0,0,2·SB,75° F, Wind 0mph, In Dome.
Corey Seager DH,3,1,1,1,1,1,4,.245,.321,.467,.787,15,7,0.044, 0.44,0.055,-0.011%, 0.01%, 0.19, 0.1,,,,75° F, Wind 0mph, In Dome.
Nathaniel Lowe 1B,3,1,1,0,1,0,4,.277,.332,.442,.775,19,9,0.024, 0.32,0.031,-0.006%, 0.01%, 0.14, 0.3,7,1,,75° F, Wind 0mph, In Dome.
Jonah Heim C,3,1,0,0,1,0,4,.263,.316,.470,.787,15,6,0.043, 0.47,0.049,-0.006%, 0.01%, 0.20, -0.1,11,1,,75° F, Wind 0mph, In Dome.
Kole Calhoun RF,3,0,0,0,0,2,3,.232,.287,.408,.695,13,9,-0.068, 0.76,0.000,-0.068%,-0.02%, 0.33, -1.2,1,0,,75° F, Wind 0mph, In Dome.
Leody Taveras CF,3,1,1,2,0,0,3,.329,.351,.500,.851,11,7,0.141, 0.89,0.146,-0.005%, 0.04%, 0.39, 1.4,3,0,SB,75° F, Wind 0mph, In Dome.
Brad Miller LF,3,0,1,2,0,0,3,.211,.259,.339,.598,12,6,0.078, 0.40,0.081,-0.004%, 0.02%, 0.18, 1.1,2,0,,75° F, Wind 0mph, In Dome.
Charlie Culberson 2B,3,0,0,0,0,1,3,.250,.288,.276,.564,12,8,-0.010, 0.13,0.000,-0.010%,-0.00%, 0.06, -0.6,1,4,,75° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,,,,,75° F, Wind 0mph, In Dome.
Jon Gray P,,,,,,,,,,,,,,,,,,,,,1,0,,75° F, Wind 0mph, In Dome.
   Matt Bush P,,,,,,,,,,,,,,,,,,,,,0,0,,75° F, Wind 0mph, In Dome.
   Jose Leclerc P,,,,,,,,,,,,,,,,,,,,,0,0,,75° F, Wind 0mph, In Dome.
   Garrett Richards P,,,,,,,,,,,,,,,,,,,,,0,0,,75° F, Wind 0mph, In Dome.
