AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Arena
5,0,0,0,0,2,5,.220,.340,.293,.633,21,15,-0.179, 1.44,0.000,-0.179%,-0.04%, 0.48, -1.9,0,3,,75° F, Wind 0mph, In Dome.
4,1,2,1,1,0,5,.239,.297,.400,.697,15,6,0.130, 0.76,0.176,-0.046%, 0.03%, 0.25, 1.2,1,4,"HR,SB",75° F, Wind 0mph, In Dome.
5,0,2,1,0,2,5,.251,.324,.480,.804,22,13,0.017, 0.75,0.073,-0.056%, 0.00%, 0.25, 0.6,2,1,,75° F, Wind 0mph, In Dome.
4,0,0,0,0,0,4,.270,.323,.429,.752,15,9,-0.119, 1.03,0.000,-0.119%,-0.02%, 0.34, -1.4,9,1,,75° F, Wind 0mph, In Dome.
4,0,1,0,0,2,4,.237,.282,.439,.720,22,16,-0.045, 1.18,0.048,-0.093%,-0.01%, 0.39, -0.6,6,0,,75° F, Wind 0mph, In Dome.
3,0,1,0,1,0,4,.341,.367,.553,.920,12,6,0.047, 1.05,0.087,-0.040%, 0.01%, 0.34, 0.2,1,0,2B,75° F, Wind 0mph, In Dome.
4,0,0,0,0,2,4,.221,.275,.389,.665,21,15,-0.139, 1.28,0.000,-0.139%,-0.03%, 0.42, -1.2,1,0,,75° F, Wind 0mph, In Dome.
3,0,0,0,1,2,4,.207,.258,.332,.589,21,15,-0.062, 1.04,0.014,-0.075%,-0.01%, 0.34, -0.6,,,,75° F, Wind 0mph, In Dome.
2,1,1,0,2,0,4,.250,.471,.250,.721,23,12,0.058, 0.74,0.084,-0.025%, 0.01%, 0.24, 1.0,6,1,,75° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,,,,75° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,1,1,,75° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,0,0,,75° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,0,0,,75° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,0,0,,75° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,0,1,,75° F, Wind 0mph, In Dome.
